"sum(LO_REVENUE)","year","P_BRAND"
12992165647,1997,MFGR#1220
13493962072,1997,MFGR#1221
12868103937,1997,MFGR#1222
12336876930,1997,MFGR#1223
14299976456,1997,MFGR#1224
13318244222,1997,MFGR#1225
13197280677,1997,MFGR#1226
12673413775,1997,MFGR#1227
14214738649,1997,MFGR#1228
12636639801,1997,MFGR#1229
13013892507,1997,MFGR#123
12877479781,1997,MFGR#1230
13171392743,1997,MFGR#1231
14750894849,1997,MFGR#1232
12863032096,1997,MFGR#1233
12983888218,1997,MFGR#1234
13858359345,1997,MFGR#1235
13426990989,1997,MFGR#1236
14121908843,1997,MFGR#1237
11549152306,1997,MFGR#1238
12256110417,1997,MFGR#1239
13443891456,1997,MFGR#124
13676437251,1997,MFGR#1240
12531582164,1997,MFGR#125
12522657980,1997,MFGR#126
13585159821,1997,MFGR#127
13327530904,1997,MFGR#128
12342724100,1997,MFGR#129
7569438418,1998,MFGR#121
7792556928,1998,MFGR#1210
8043490596,1998,MFGR#1211
7196701222,1998,MFGR#1212
7981049903,1998,MFGR#1213
7605825009,1998,MFGR#1214
7967087557,1998,MFGR#1215
7543542956,1998,MFGR#1216
8108839661,1998,MFGR#1217
7637530413,1998,MFGR#1218
7426254540,1998,MFGR#1219
8134382920,1998,MFGR#122
7519265629,1998,MFGR#1220
8071181260,1998,MFGR#1221
7599263148,1998,MFGR#1222
7366631661,1998,MFGR#1223
8255157765,1998,MFGR#1224
7761197600,1998,MFGR#1225
8380750746,1998,MFGR#1226
7176752842,1998,MFGR#1227
8540908992,1998,MFGR#1228
7732826860,1998,MFGR#1229
7778915813,1998,MFGR#123
7253373114,1998,MFGR#1230
7615184866,1998,MFGR#1231
8504193275,1998,MFGR#1232
7649719262,1998,MFGR#1233
7631093646,1998,MFGR#1234
8094634731,1998,MFGR#1235
8354429462,1998,MFGR#1236
8119344863,1998,MFGR#1237
6755380305,1998,MFGR#1238
7397451291,1998,MFGR#1239
7947399165,1998,MFGR#124
8331229217,1998,MFGR#1240
7672739882,1998,MFGR#125
7369144299,1998,MFGR#126
8001904207,1998,MFGR#127
7461073797,1998,MFGR#128
6974038529,1998,MFGR#129
